gvkey,fyear,TFP
1094,1979,.2720925
1094,1980,.1510159
1094,1981,-.0456978
1094,1982,.1127487
1094,1983,.2516829
1094,1984,.3928902
1094,1986,.3918859
1094,2000,.4101162
1094,2001,.3131866
1094,2002,.1578193
1094,2007,.0642384
1094,2014,.5262924
1095,1983,-.1365365
1095,1984,-.2429133
1095,1985,-.5468421
1095,1986,-.5797087
1095,1987,-.3457257
1095,1988,-.4838758
1095,1989,-.5485878
1095,1990,-.6671359
1095,1991,-.6153598
1095,1992,-.5186995
1095,1993,-.6599817
1095,1994,-.7339796
1095,1995,-.6618249
1095,1996,-.5888612
1095,1997,-.6872509
1095,1998,-.7764373
1095,1999,-.9419158
1095,2000,-1.01004
1095,2001,-1.469033
1098,1971,-.7104297
1098,1972,-.5667213
1098,1973,-.4399114
1098,1974,-.4943315
1098,1975,-.4879551
1098,1976,-.6415303
1098,1977,-.4268025
1098,1978,-.3019554
1098,1979,-.1950694
1098,1980,-.2924275
1098,1981,-.3387731
1098,1982,-.2505267
1098,1983,-1.191902
1098,1984,-.9030584
1098,1985,-.2258576
1098,1986,-.3513747
1098,1987,-.6307907
1098,1988,-.6771855
1098,1989,-.5385982
1098,1990,-.5235055
1098,1991,-.6553429
1098,1992,-.690584
1098,1993,-.6769258
1098,1994,-.852151
1098,1995,-.4278209
1099,1969,-.4578951
1099,1970,-.3617579
1099,1971,-.3273647
1099,1972,-.3158759
1099,1973,-.4136277
1099,1974,-.2809456
1099,1975,-.338726
1099,1976,-.4004484
1099,1977,-.2831675
1099,1978,-.2160081
1099,1979,-.4685977
1099,1980,-.4418489
1099,1981,-.5029705
1099,1982,-.4582396
1099,1983,-.6570554
1099,1984,-.549198
1099,1985,-.2871824
1099,1986,-.4461163
1099,1987,-.4851124
1099,1988,-.6050745
1099,1989,-.3911622
1099,1990,-.511097
1099,1991,-.8186528
1099,1992,-.5360738
1099,1993,-.616618
1099,1994,-.542614
1099,1995,-.5636874
1099,1996,-.4948511
1099,1997,-.5733454
1099,1998,-.5260091
1099,1999,-.5101267
1099,2000,-.3705395
1100,1972,.0840369
1100,1973,.0641751
1100,1974,-.2585516
1100,1975,-.2591554
1100,1976,-.1878321
1100,1977,-.2825382
1100,1978,-.2658728
1100,1979,-.335857
1100,1980,-.6612291
1100,1981,-.4704014
1100,1982,-.3899488
1100,1983,-.3199341
1100,1984,-.3051881
1101,1977,-1.036886
1103,1972,-.7226408
1103,1973,-.5797184
1103,1974,-.3408627
1103,1975,-.407315
1103,1976,-.3665451
1103,1977,-.6202717
1103,1978,-.9846962
1103,1979,-1.198342
1103,1983,-.3101284
1103,1984,-.4837547
1103,1985,-.809637
1103,1986,-.040725
1103,1987,-.8016977
1104,1971,-.3912268
1104,1974,-.3872878
1104,1975,-.3573351
1104,1976,-.4372988
1104,1977,-.4066812
1104,1978,-.3986647
1104,1979,-.3678305
1104,1980,-.291118
1104,1981,-.2592258
1104,1982,-.1543541
1104,1983,-.2251886
1104,1984,-.425577
1104,1985,-.4486693
1104,1986,-.6470088
1104,1987,-.6549016
1104,1988,-.47634
1104,1989,-.6114987
1104,1990,-.4916807
1104,1991,-.5202293
1104,1992,-.6221277
1104,1993,-.7772976
1104,1994,-.7237526
1104,1995,-1.209264
1104,1996,-.9599721
1104,1997,-.8883725
1104,1998,-1.004219
1104,1999,-.8634107
1104,2000,-.5221583
1104,2001,-.4910901
1104,2002,-.684677
1104,2005,-.0774777
1104,2006,-.1486665
1104,2007,-.1901101
1104,2008,-.214133
1104,2009,-.4626307
1104,2010,-.5733643
1104,2011,-.5018055
1104,2012,-.3950476
1104,2013,-.4419981
1104,2014,-.5015009
1104,2015,-.4855363
1104,2016,-.5045365
1106,1981,-.7548695
1106,1982,-.2121702
1106,1983,-.3665447
1106,1984,-1.232084
1107,1979,-.6837637
1107,1980,-.673265
1107,1981,-.6664644
1107,1982,-.7507261
1107,1983,-.7135085
1107,1984,-.783011
1107,1985,-.6793853
1107,1986,-.7071345
1107,1987,-.6817414
1107,1988,-.6416103
1107,1989,-.6393507
1107,1990,-.6928622
1107,1991,-.6737548
1107,1992,-.8056916
1107,1993,-.780603
1107,1994,-.3807156
1107,1995,-.3276577
1107,1996,-.2936857
1107,1997,-.1877933
1107,1998,-.306739
1107,1999,-.2478295
1107,2000,-.2881781
1107,2001,-.2771734
1107,2002,-.3252907
1111,1987,-.0428461
1111,1988,-.3051983
1111,1989,-.7478393
1111,1995,-.1689906
1111,1996,.1879954
1111,1997,.040131
1111,1998,.2620869
1111,1999,.423611
1111,2000,.5316164
1111,2001,.7627999
1111,2002,.6738079
1111,2003,.5504022
1111,2004,.6511041
1111,2005,-.4530813
1111,2006,-.0827356
1111,2007,.948414
1113,1971,-.9970895
1113,1972,-.6906033
1113,1973,-.3701995
1113,1974,-.7945041
1113,1975,-.3748099
1113,1976,-.4441136
1113,1977,-.5355607
1113,1978,-.5854993
1113,1979,-.4423149
1113,1980,-.4768169
1113,1981,-.8072405
1113,1982,-.4681776
1113,1983,-1.687331
1113,1984,-1.081158
1113,1986,-.7179617
1114,1969,-.1202258
1114,1970,.012923
1114,1971,-.0973408
1114,1972,-.0717736
1114,1973,-.0768896
1114,1974,-.2023834
1114,1975,-.2192358
1115,1982,.1665981
1115,1983,-.1012222
1115,1986,-1.221609
1115,1987,-.0201866
1115,1988,.1893629
1115,1989,.3157543
1115,1990,-.4140281
1115,1991,-.363548
1115,1992,-.1579744
1115,1993,.2145488
1115,1994,.1682672
1115,1995,.0899636
1115,1996,.2027809
1115,1997,.3428673
1115,1998,.1563768
1115,1999,-.3620134
1116,1978,-.2004435
1116,1979,-.1409206
1116,1980,-.128638
1116,1981,-.1143097
1116,1982,-.1551471
1116,1983,-.3917714
1116,1984,-.2867969
1116,1985,-.3498594
1116,1986,-1.035823
1116,1987,-.541723
1116,1988,-.7739627
1116,1989,-.6074052
1116,1990,-.7829998
1117,1976,-.3912496
1117,1977,-.2624622
1117,1978,-.3178712
1117,1979,-.2477393
1117,1980,-.2573551
1117,1981,-.1327976
1117,1982,-.0018548
1117,1983,.0229031
1117,1984,-.3120865
1117,1985,-.9266819
1117,1986,-2.907163
1117,1987,-1.46911
1117,1991,-.527593
1117,1992,-.551501
1117,1993,-.5681405
1117,1994,-.6270143
1117,1995,-.8378683
1117,1996,-.7431651
1117,1997,-1.427872
1117,1998,-1.247403
1117,1999,-1.05127
1117,2015,-.5087619
